Relay URL,Latitude,Longitude
relay.chorus.community,50.1109,8.68213
relay-rpi.edufeed.org,49.4543,11.0746
nostr.chaima.info,50.1109,8.68213
relay.nostraddress.com,43.6532,-79.3832
nostr.middling.mydns.jp,35.8099,140.12
nostr.myshosholoza.co.za,52.3676,4.90414
n.ok0.org,-37.7254,176.133
relay.21e6.cz,50.1682,14.0546
premium.primal.net,43.6532,-79.3832
relay.stream.labs.h3.se,59.4016,17.9455
nostr.night7.space,50.4754,12.3683
nostr.4rs.nl,49.0291,8.35696
relay.notoshi.win,13.7683,100.54
nostr.carroarmato0.be,50.9017,3.52588
relay.angor.io,48.1046,11.6002
relay.nostriot.com,41.5695,-83.9786
nostr-pub.wellorder.net,45.5201,-122.99
relay04.lnfi.network,39.0997,-94.5786
x.kojira.io,43.6532,-79.3832
strfry.felixzieger.de,50.1013,8.62643
purpura.cloud,43.6532,-79.3832
alien.macneilmediagroup.com,43.6532,-79.3832
wot.sudocarlos.com,51.5072,-0.127586
relay02.lnfi.network,39.0997,-94.5786
relay.getsafebox.app,43.6532,-79.3832
wot.sebastix.social,51.8933,4.42083
relay.dwadziesciajeden.pl,52.2297,21.0122
nostr.roundrockbitcoiners.com,40.8054,-74.0241
nostr.dlsouza.lol,50.1109,8.68213
nostr-relay.shirogaku.xyz,43.6532,-79.3832
yabu.me,35.6092,139.73
nostr.stakey.net,52.3676,4.90414
relay.sincensura.org,43.6532,-79.3832
nostr-02.czas.top,51.2277,6.77346
soloco.nl,43.6532,-79.3832
nostream.breadslice.com,43.6532,-79.3832
nostr.camalolo.com,24.1469,120.684
nostr-dev.wellorder.net,45.5201,-122.99
nostr.pleb.one,38.6327,-90.1961
cyberspace.nostr1.com,40.7357,-74.1724
relay.illuminodes.com,47.6061,-122.333
satsage.xyz,37.3986,-121.964
nostr.data.haus,50.4754,12.3683
nostr.jfischer.org,49.0291,8.35696
r.bitcoinhold.net,43.6532,-79.3832
relay.barine.co,43.6532,-79.3832
wot.sovbit.host,64.1466,-21.9426
nostr.vulpem.com,49.4543,11.0746
nostr.kalf.org,52.3676,4.90414
